fit_unit_id,lake_id,phase,branch_label,point_count,linear_r2,linear_rmse,linear_aicc,linear_coefficients,quadratic_r2,quadratic_rmse,quadratic_aicc,quadratic_coefficients,selected_model,selected_r2,selected_rmse,selected_aicc,selected_coefficients,selection_rule,aicc_parameterization
lake_004_original_b02,4,original,B2,28,0.9942303284240608,0.1321321970815335,-106.34133241275178,3.06736752188;644.864485639,0.9954221719414909,0.1176963103609653,-110.0811358950392,-0.17069768509;3.50058896719;644.662896952,quadratic,0.9954221719414909,0.1176963103609653,-110.0811358950392,-0.17069768509;3.50058896719;644.662896952,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_005_original_b01,5,original,B1,9,0.9713421125862364,0.2070928009635772,-17.542588902222302,3.14472096763;767.690935896,0.9735961801868924,0.1987816522758884,-11.079869065086118,0.780849507282;1.090523666;768.926404325,linear,0.9713421125862364,0.2070928009635772,-17.542588902222302,3.14472096763;767.690935896,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_006_original_b01,6,original,B1,9,0.9828433422917208,0.157710782108145,-22.445863494141097,1.77532055752;677.234042114,0.9880943639710772,0.1313776057120737,-18.534233084886296,-0.881163039568;3.35026471957;676.934841963,linear,0.9828433422917208,0.157710782108145,-22.445863494141097,1.77532055752;677.234042114,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_007_original_b01,7,original,B1,11,0.9088208686771168,0.5566407689518872,-3.45980266700551,3.06407131786;666.988721534,0.9876562651115064,0.2048097271561483,-20.21815893676437,-2.21216311074;7.70622876276;665.352136047,quadratic,0.9876562651115064,0.2048097271561483,-20.21815893676437,-2.21216311074;7.70622876276;665.352136047,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_008_original_b01,8,original,B1,32,0.8372463124457199,0.5107490211246974,-36.14298270004961,5.230910943;768.854727599,0.8781310540485593,0.4419657872910852,-42.77597798854216,4.92258689993;0.665133295885;769.644100643,quadratic,0.8781310540485593,0.4419657872910852,-42.77597798854216,4.92258689993;0.665133295885;769.644100643,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_009_original_b01,9,original,B1,13,0.9582169595995907,0.5592296955092808,-6.4444029671262335,5.45611718686;717.281168338,0.9871736615990636,0.3098429024287638,-17.463936784092258,-3.28165232641;10.3115425652;716.280746876,quadratic,0.9871736615990636,0.3098429024287638,-17.463936784092258,-3.28165232641;10.3115425652;716.280746876,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_010_original_b01,10,original,B1,16,0.95597500605825,0.3529561909863019,-25.32516270736492,4.73874221634;715.611511965,0.9612992176007722,0.3309261022546088,-23.751162269517422,-1.74915442697;6.48016471606;715.414190032,linear,0.95597500605825,0.3529561909863019,-25.32516270736492,4.73874221634;715.611511965,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_011_original_b01,11,original,B1,28,0.968652266359676,0.3737276261618547,-48.11676907414736,4.3596977033;702.186476806,0.9918554872802272,0.1904954826083702,-83.11597025536979,-1.64935267131;7.48657070291;701.132620652,quadratic,0.9918554872802272,0.1904954826083702,-83.11597025536979,-1.64935267131;7.48657070291;701.132620652,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_012_original_b01,12,original,B1,7,0.875989170807547,0.3043203055082514,-2.655442940094055,11.258761039;665.242042036,0.9936286952789156,0.0689787490212019,-9.43539529830845,-81.3893012067;49.247196;661.285190263,quadratic,0.9936286952789156,0.0689787490212019,-9.43539529830845,-81.3893012067;49.247196;661.285190263,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_013_original_b01,13,original,B1,24,0.9095710842474204,0.375045826349506,-39.87393873020616,2.98467522483;619.186155342,0.9145967114022748,0.3644751909257284,-38.34098291348459,0.482548298492;2.23053538878;619.404164542,linear,0.9095710842474204,0.375045826349506,-39.87393873020616,2.98467522483;619.186155342,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_015_original_b01,15,original,B1,22,0.9195492876832146,0.1698569356338328,-70.66981172533004,1.77481332233;669.981177723,0.9390641702006912,0.1478273197095668,-73.7623184092507,1.0170330823;0.342630344518;670.365818663,quadratic,0.9390641702006912,0.1478273197095668,-73.7623184092507,1.0170330823;0.342630344518;670.365818663,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_016_original_b01,16,original,B1,23,0.9367861201045552,0.6159853289822905,-15.025320191956824,5.93893271644;751.370423051,0.9885773508331244,0.2618469769126836,-51.417547935755096,-3.29737548563;11.3389540472;749.724015705,quadratic,0.9885773508331244,0.2618469769126836,-51.417547935755096,-3.29737548563;11.3389540472;749.724015705,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_019_original_b01,19,original,B1,29,0.9787666300487632,0.3247519153548956,-58.272236079711526,7.27888096888;721.699603457,0.978929535116388,0.3235037480834806,-55.78891891937706,-0.557080800429;7.95757792492;721.54516224,linear,0.9787666300487632,0.3247519153548956,-58.272236079711526,7.27888096888;721.699603457,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_023_original_b01,23,original,B1,11,0.9973604668761474,0.1176248144741335,-37.65704425498424,9.18662062866;892.113443468,0.9979841691461128,0.1027927387517543,-35.38422572299374,-0.734017624211;9.96173149681;891.954998424,linear,0.9973604668761474,0.1176248144741335,-37.65704425498424,9.18662062866;892.113443468,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_026_original_b01,26,original,B1,32,0.8074632386927036,0.7451430445813596,-11.97031780742822,6.28633238328;585.200059425,0.8087318319121831,0.7426841748107209,-9.557519618083216,-1.07767083936;7.35557299686;584.998457194,linear,0.8074632386927036,0.7451430445813596,-11.97031780742822,6.28633238328;585.200059425,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_027_original_b01,27,original,B1,11,0.9265839074877974,0.2103643635547967,-24.867540689909145,3.02301411853;725.607728169,0.961351803172745,0.1526304398906119,-26.68751884305844,-3.12881540662;6.83505396058;724.6485789,quadratic,0.961351803172745,0.1526304398906119,-26.68751884305844,-3.12881540662;6.83505396058;724.6485789,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_028_original_b01,28,original,B1,35,0.881694554085972,0.6037398413673737,-28.54863945507513,7.68616718339;436.742702656,0.8926043879586457,0.5752289520876005,-29.37576645916092,-4.36149267726;11.9364426056;435.995409755,quadratic,0.8926043879586457,0.5752289520876005,-29.37576645916092,-4.36149267726;11.9364426056;435.995409755,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_030_original_b01,30,original,B1,9,0.9972677173850478,0.0517509688678426,-42.503618248704,4.56128292244;669.654275192,0.9989094619743536,0.0326946040580665,-43.56981410777894,-1.17798144879;5.5746771872;669.494625854,quadratic,0.9989094619743536,0.0326946040580665,-43.56981410777894,-1.17798144879;5.5746771872;669.494625854,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_032_original_b01,32,original,B1,16,0.9784361720425384,0.4710850050326846,-16.086935151151152,12.2167907893;785.410218742,0.9945577847634488,0.2366596448158408,-34.47986893474883,-6.82723670294;18.3139129126;784.514215043,quadratic,0.9945577847634488,0.2366596448158408,-34.47986893474883,-6.82723670294;18.3139129126;784.514215043,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_034_original_b01,34,original,B1,13,0.9367127447458916,0.3556336816021057,-18.21353894953515,6.19830185466;581.971683828,0.963758820154372,0.2691199659673974,-21.1275487450664,-4.51106929872;10.6075881262;581.125020014,quadratic,0.963758820154372,0.2691199659673974,-21.1275487450664,-4.51106929872;10.6075881262;581.125020014,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_036_original_b01,36,original,B1,25,0.872883129831028,0.4962456677460534,-27.891351707223222,7.12932903797;744.44819268,0.9682528756895036,0.2479975149432698,-59.71682766287003,15.0426680839;-5.2461274839;746.475132295,quadratic,0.9682528756895036,0.2479975149432698,-59.71682766287003,15.0426680839;-5.2461274839;746.475132295,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_040_original_b01,40,original,B1,15,0.8671737828704652,0.2323088578714029,-35.608807080985244,3.76441764652;731.304422135,0.8684109952905079,0.2312244039515413,-31.930997829919903,-1.36890570658;4.88762581262;731.115325028,linear,0.8671737828704652,0.2323088578714029,-35.608807080985244,3.76441764652;731.304422135,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_042_original_b01,42,original,B1,12,0.9637156139542192,0.7533917880596219,2.203922793004226,27.9789664026;759.938892698,0.9954793396176228,0.2659266933694613,-18.07454461416144,-51.2465364786;52.936594996;757.887304194,quadratic,0.9954793396176228,0.2659266933694613,-18.07454461416144,-51.2465364786;52.936594996;757.887304194,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_045_original_b01,45,original,B1,23,0.9639803904178568,0.3063071379097923,-47.162522346180175,8.57581299072;932.540817679,0.9908208566039184,0.1546281977210123,-75.64743910539742,-12.7086906041;17.8152123094;931.299927675,quadratic,0.9908208566039184,0.1546281977210123,-75.64743910539742,-12.7086906041;17.8152123094;931.299927675,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_047_original_b01,47,original,B1,28,0.9265410302911714,0.6000269230684104,-21.60372216755283,15.3681710014;591.370598555,0.9270804287556348,0.5978199092151767,-19.07095019581545,3.11636023284;13.2930939347;591.650789617,linear,0.9265410302911714,0.6000269230684104,-21.60372216755283,15.3681710014;591.370598555,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_050_original_b01,50,original,B1,23,0.9577058260554748,0.2807675562622886,-51.16733718384664,8.81310220603;707.636844159,0.9703422166845616,0.2351126477524227,-56.37154204519478,-9.40748268879;14.0322748521;707.134216401,quadratic,0.9703422166845616,0.2351126477524227,-56.37154204519478,-9.40748268879;14.0322748521;707.134216401,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_051_original_b01,51,original,B1,18,0.9844397301270974,0.1789329598602964,-54.232500777413335,9.50739219821;683.929241739,0.9915024485158108,0.1322296004741095,-61.75883383820323,-6.65821175851;12.6730158684;683.712802552,quadratic,0.9915024485158108,0.1322296004741095,-61.75883383820323,-6.65821175851;12.6730158684;683.712802552,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_052_original_b01,52,original,B1,19,0.9218159431266376,0.2733128150036711,-41.691255296235695,6.92743291558;598.08257629,0.9386488598463748,0.2421097133033762,-43.04070034543332,-8.89202967159;11.822546777;597.579826738,quadratic,0.9386488598463748,0.2421097133033762,-43.04070034543332,-8.89202967159;11.822546777;597.579826738,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
