fit_unit_id,lake_id,phase,branch_label,selected_model,selected_r2,volume_formula,n_dates,first_date,last_date,reference_date,reference_wse_m,reference_area_km2,min_volume_1e6_m3,max_volume_1e6_m3,range_volume_1e6_m3,max_fill_rate_1e6_m3_day,max_drain_rate_1e6_m3_day,source_kind
lake_004_original_b02,4,original,B2,quadratic,0.9954221719414909,reference_wse_integral_A(h)_dh,43,2024-06-28,2024-08-14,2024-07-21,649.9647432351212,1.6468,0.0,6.684728761675282,6.684728761675282,0.6068194468600363,-0.220392845886996,ordinary_densified_area_wse
lake_005_original_b01,5,original,B1,linear,0.9713421125862364,reference_wse_integral_A(h)_dh,24,2024-07-03,2024-08-14,2024-07-21,771.1666387454732,1.1407,0.0,5.446286889467733,5.446286889467733,0.5948100912324339,-0.2480280013812514,ordinary_densified_area_wse
lake_006_original_b01,6,original,B1,linear,0.9828433422917208,reference_wse_integral_A(h)_dh,17,2024-07-07,2024-08-06,2024-07-13,679.2676718126392,1.1455,-0.1202560317993164,3.1399370275616705,3.260193059360987,0.5325627388504586,-0.8590422539635608,ordinary_densified_area_wse
lake_007_original_b01,7,original,B1,quadratic,0.9876562651115064,reference_wse_integral_A(h)_dh,14,2024-07-05,2024-07-28,2024-07-14,668.8902130126953,0.50735,-1.0209944833520823,3.204041116927956,4.225035600280038,1.9074246820667604,-1.7979389139722846,ordinary_densified_area_wse
lake_008_original_b01,8,original,B1,quadratic,0.8781310540485593,reference_wse_integral_A(h)_dh,45,2024-06-26,2024-08-14,2024-07-06,771.6596069335938,0.4561,-0.012299560546875,4.439461475371133,4.451761035918008,0.9422220231443122,-1.6926454191130875,ordinary_densified_area_wse
lake_009_original_b01,9,original,B1,quadratic,0.9871736615990636,reference_wse_integral_A(h)_dh,26,2024-07-06,2024-08-14,2024-07-21,721.548757622835,0.6863,0.0,4.191388782124704,4.191388782124704,0.5138911621256824,-0.1540413483728496,ordinary_densified_area_wse
lake_010_original_b01,10,original,B1,linear,0.95597500605825,reference_wse_integral_A(h)_dh,21,2024-07-02,2024-07-29,2024-07-19,716.6788525390625,0.14945,-0.0433293869541652,2.376798378090112,2.420127765044277,0.7099731979714594,-0.7049311945683533,ordinary_densified_area_wse
lake_011_original_b01,11,original,B1,quadratic,0.9918554872802272,reference_wse_integral_A(h)_dh,42,2024-06-27,2024-08-14,2024-07-17,707.1583016348576,1.0134,0.0,5.225248615769496,5.225248615769496,0.6440289235015819,-0.3011555551321013,ordinary_densified_area_wse
lake_012_original_b01,12,original,B1,quadratic,0.9936286952789156,reference_wse_integral_A(h)_dh,21,2024-07-05,2024-08-03,2024-07-26,666.837158203125,0.1620112127766333,-184.4411419826716,0.6177656540216208,185.0589076366932,151.24536658732927,-173.38585308837614,ordinary_densified_area_wse
lake_013_original_b01,13,original,B1,linear,0.9095710842474204,reference_wse_integral_A(h)_dh,33,2024-06-27,2024-08-14,2024-07-06,621.4993515014648,0.6062,0.0,3.698078907960896,3.698078907960896,0.7197432455835384,-0.932070312116834,ordinary_densified_area_wse
lake_015_original_b01,15,original,B1,quadratic,0.9390641702006912,reference_wse_integral_A(h)_dh,34,2024-07-06,2024-08-14,2024-07-26,670.7618664550781,0.5032,-0.0353357230904139,1.230957008631283,1.2662927317216972,0.2787445598493195,-0.294531717803544,ordinary_densified_area_wse
lake_016_original_b01,16,original,B1,quadratic,0.9885773508331244,reference_wse_integral_A(h)_dh,36,2024-06-26,2024-08-11,2024-07-17,757.4091262817383,0.9197,0.0,5.484362943747777,5.484362943747777,0.6310839822599571,-0.3589928977260617,ordinary_densified_area_wse
lake_019_original_b01,19,original,B1,linear,0.9787666300487632,reference_wse_integral_A(h)_dh,40,2024-06-29,2024-08-14,2024-07-26,725.5661315917969,0.55,-0.388145695889584,3.6540788432033526,4.0422245390929366,0.5869906539223954,-0.4857883509406056,ordinary_densified_area_wse
lake_023_original_b01,23,original,B1,linear,0.9973604668761474,reference_wse_integral_A(h)_dh,24,2024-06-28,2024-08-06,2024-07-16,897.0579391479492,0.5472,0.0,3.915456310483108,3.915456310483108,0.6659767246614857,-0.0882027133276199,ordinary_densified_area_wse
lake_026_original_b01,26,original,B1,linear,0.8074632386927036,reference_wse_integral_A(h)_dh,47,2024-06-22,2024-08-14,2024-06-29,588.3817138671875,0.1599499999999998,-0.3041617610105664,2.5678871140088746,2.8720488750194413,0.6439246276915853,-1.08999502476414,ordinary_densified_area_wse
lake_027_original_b01,27,original,B1,quadratic,0.961351803172745,reference_wse_integral_A(h)_dh,23,2024-07-06,2024-08-14,2024-07-16,727.8418903923853,0.6221,0.0,1.3005770006645527,1.3005770006645527,0.1907217059406053,-0.2311770565577729,ordinary_densified_area_wse
lake_028_original_b01,28,original,B1,quadratic,0.8926043879586457,reference_wse_integral_A(h)_dh,44,2024-06-26,2024-08-14,2024-07-24,439.0898803767541,0.2650735596103004,0.0,2.5011477430653035,2.5011477430653035,0.5860213689272876,-1.8261500810478284,ordinary_densified_area_wse
lake_030_original_b01,30,original,B1,quadratic,0.9989094619743536,reference_wse_integral_A(h)_dh,17,2024-07-05,2024-07-21,2024-07-12,672.3946228027344,0.59675,0.0,1.6789582491482065,1.6789582491482065,0.3956955575602844,-1.6391524686562355,ordinary_densified_area_wse
